hand,seed,street,pos,oppPos,oppType,cards,board,potSize,betSize,situation,playerIsOOP,availableActions,bestAction,acceptable,handCategory,handDesc,handStrength,draws,drawOuts,boardTexture,mcEquity,rangeFallback,betRangeSize,checkRangeSize,callRangeSize,evBest,explanation,rating_Check,ev_Check,rating_Bet,ev_Bet,rating_Fold,ev_Fold,rating_Raise,ev_Raise,rating_Call,ev_Call,rating_3-Bet,ev_3-Bet
1,0W7BUIG,turn,CO,MP,neutral,T4o,K♦ 5♣ 9♣ 7♣,8,0,ip_vs_check,IP,Check/Bet,Check,Check,trash,Nothing,0.180,flush draw,9,wet,0.368,no,--,575,710,0.3,"Flush draw on a wet board — betting only gets called by better hands. Take the free card. Their checking range is mixed,",green,0.3,red,-1.0,,,,,,,,
2,0GJWG0W,flop,MP,BTN,tight,Q2o,J♥ 2♦ 2♥,6,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet,strong,Three of a Kind,0.650,none,0,dry,0.981,no,--,795,286,0.8,Three of a Kind on a dry board — roughly 98% equity vs their checking range. Worse hands will call. A Careful player che,red,-1.0,green,0.8,,,,,,,,
3,1PX4F3P,preflop,CO,SB,neutral,A3o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"A3o has a weak kicker. It may seem strong because of the Ace, but it often makes second-best hands that lose significant",,,,,green,0.3,red,-2.5,,,,
4,0PAJB4I,turn,UTG,SB,neutral,92o,J♦ 6♥ 4♠ Q♠,10,0,ip_vs_check,IP,Check/Bet,Check,Check,trash,Nothing,0.060,none,0,medium,0.164,no,--,817,451,0.3,"Nothing — betting only gets called by better hands. Take the free card. Their checking range is mixed, and your hand can",green,0.3,red,-1.0,,,,,,,,
5,1DNZ6IN,preflop,MP,BB,neutral,KJo,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,KJo is a strong broadway combo with good high-card equity. Outside MP range with 4 players behind.,,,,,green,0.3,red,-2.5,,,,
6,0ZU49MU,flop,MP,BTN,neutral,66,2♥ 4♦ 4♠,15,6,oop_check_then_opp_bets,OOP,Fold/Call/Raise,Fold,Fold/Call,good,Two Pair,0.550,none,0,dry,0.256,no,181,--,--,0.3,"Two Pair on a dry board — roughly 26% equity, needing 29% to call 6BB into 15BB. A genuinely close spot. Both calling an",,,,,green,0.3,red,-6.0,green,0.3,,
7,1RDD9OK,preflop,SB,BB,aggro,43o,--,1.5,0,open,IP,Fold/Raise,Fold,Fold,--,--,--,--,--,--,--,no,--,--,--,0.3,"43o is an unplayable hand. No suit advantage, poor connectivity, and easily dominated. Even from the BTN this hand can't",,,,,green,0.3,red,-2.5,,,,
8,0V7Q3HB,flop,BB,SB,neutral,T4s,3♠ 5♥ 10♣,13,0,ip_vs_check,IP,Check/Bet,Bet,Bet,marginal,"Top pair, weak kicker",0.280,none,0,dry,0.856,no,--,973,253,1.0,"Top pair, weak kicker on a dry board — roughly 86% equity vs their checking range. Worse hands will call. Their check co",red,-1.0,green,1.0,,,,,,,,
9,0APH996,turn,UTG,CO,aggro,AKo,3♣ A♣ Q♥ 7♣,4,0,oop_first_to_act,OOP,Check/Bet,Bet,Bet,good,"Top pair, strong kicker",0.450,none,0,wet,1.000,no,--,90,801,0.8,"Top pair, strong kicker on a wet board — roughly 100% equity vs their checking range. Worse hands will call. An Aggro pl",red,0.0,green,0.8,,,,,,,,
10,1IAFEUX,river,MP,BB,aggro,99,K♥ 2♦ A♥ K♣ 5♠,8,0,ip_vs_check,IP,Check/Bet,Bet,Bet,marginal,Two Pair (weak),0.350,none,0,dry,0.976,L1,--,699,990,0.8,Two Pair (weak) on a dry runout — roughly 98% equity vs their checking range. Worse hands will call. An Aggro player che,red,-1.0,green,0.8,,,,,,,,
